"Localidad","Dia","HoraInt","Homicidios"
"Usaquen","jueves","[4-8)",3
"Usaquen","jueves","[12- 16)",5
"Usaquen","viernes","[0-4)",13
"Usaquen","lunes","[12- 16)",7
"Usaquen","sábado","[4-8)",15
"Usaquen","miércoles","[16-20)",9
"Usaquen","viernes","[8-12)",6
"Usaquen","martes","[12- 16)",10
"Usaquen","sábado","[0-4)",41
"Usaquen","viernes","[20-24)",18
"Usaquen","miércoles","[8-12)",5
"Usaquen","viernes","[16-20)",13
"Usaquen","sábado","[8-12)",7
"Usaquen","lunes","[16-20)",10
"Usaquen","miércoles","[20-24)",14
"Usaquen","jueves","[8-12)",5
"Usaquen","martes","[20-24)",14
"Usaquen","miércoles","[0-4)",3
"Usaquen","martes","[8-12)",4
"Usaquen","jueves","[20-24)",12
"Usaquen","martes","[0-4)",7
"Usaquen","lunes","[20-24)",10
"Usaquen","jueves","[0-4)",10
"Usaquen","domingo","[0-4)",9
"Usaquen","sábado","[12- 16)",4
"Usaquen","lunes","[4-8)",3
"Usaquen","miércoles","[4-8)",6
"Usaquen","viernes","[12- 16)",8
"Usaquen","domingo","[20-24)",8
"Usaquen","sábado","[20-24)",8
"Usaquen","viernes","[4-8)",8
"Usaquen","sábado","[16-20)",9
"Usaquen","martes","[16-20)",10
"Usaquen","domingo","[16-20)",6
"Usaquen","lunes","[8-12)",4
"Usaquen","miércoles","[12- 16)",5
"Usaquen","domingo","[12- 16)",4
"Usaquen","jueves","[16-20)",7
"Usaquen","domingo","[8-12)",1
"Usaquen","domingo","[4-8)",1
"Usaquen","lunes","[0-4)",1
"Engativa","jueves","[0-4)",13
"Engativa","viernes","[0-4)",24
"Engativa","sábado","[0-4)",53
"Engativa","sábado","[4-8)",17
"Engativa","lunes","[20-24)",19
"Engativa","viernes","[8-12)",8
"Engativa","martes","[4-8)",5
"Engativa","miércoles","[12- 16)",8
"Engativa","lunes","[16-20)",8
"Engativa","miércoles","[4-8)",7
"Engativa","domingo","[12- 16)",12
"Engativa","martes","[16-20)",14
"Engativa","lunes","[0-4)",3
"Engativa","lunes","[8-12)",4
"Engativa","martes","[8-12)",2
"Engativa","miércoles","[0-4)",7
"Engativa","lunes","[12- 16)",7
"Engativa","jueves","[16-20)",14
"Engativa","viernes","[16-20)",13
"Engativa","domingo","[0-4)",15
"Engativa","sábado","[20-24)",8
"Engativa","domingo","[16-20)",10
"Engativa","domingo","[20-24)",12
"Engativa","viernes","[20-24)",27
"Engativa","sábado","[12- 16)",3
"Engativa","viernes","[4-8)",8
"Engativa","martes","[20-24)",16
"Engativa","jueves","[12- 16)",6
"Engativa","miércoles","[16-20)",7
"Engativa","jueves","[4-8)",10
"Engativa","martes","[0-4)",9
"Engativa","domingo","[8-12)",2
"Engativa","martes","[12- 16)",11
"Engativa","jueves","[20-24)",21
"Engativa","sábado","[8-12)",5
"Engativa","sábado","[16-20)",14
"Engativa","miércoles","[20-24)",8
"Engativa","miércoles","[8-12)",5
"Engativa","jueves","[8-12)",3
"Engativa","viernes","[12- 16)",13
"Engativa","lunes","[4-8)",5
"Suba","jueves","[0-4)",15
"Suba","sábado","[0-4)",79
"Suba","miércoles","[8-12)",14
"Suba","viernes","[12- 16)",15
"Suba","sábado","[20-24)",39
"Suba","martes","[12- 16)",8
"Suba","jueves","[16-20)",22
"Suba","viernes","[0-4)",20
"Suba","domingo","[12- 16)",8
"Suba","viernes","[20-24)",49
"Suba","sábado","[4-8)",42
"Suba","miércoles","[12- 16)",16
"Suba","viernes","[8-12)",16
"Suba","martes","[0-4)",8
"Suba","lunes","[20-24)",16
"Suba","martes","[16-20)",14
"Suba","martes","[20-24)",18
"Suba","miércoles","[16-20)",15
"Suba","jueves","[20-24)",32
"Suba","viernes","[4-8)",7
"Suba","sábado","[16-20)",22
"Suba","lunes","[16-20)",12
"Suba","viernes","[16-20)",25
"Suba","jueves","[12- 16)",7
"Suba","lunes","[12- 16)",9
"Suba","miércoles","[20-24)",20
"Suba","domingo","[16-20)",11
"Suba","domingo","[8-12)",5
"Suba","domingo","[0-4)",19
"Suba","domingo","[20-24)",19
"Suba","domingo","[4-8)",10
"Suba","miércoles","[4-8)",7
"Suba","martes","[8-12)",8
"Suba","sábado","[12- 16)",14
"Suba","martes","[4-8)",7
"Suba","jueves","[4-8)",7
"Suba","miércoles","[0-4)",6
"Suba","sábado","[8-12)",9
"Suba","lunes","[4-8)",4
"Suba","lunes","[8-12)",5
"Suba","jueves","[8-12)",4
"Suba","lunes","[0-4)",4
"Barrios Unidos","miércoles","[12- 16)",2
"Barrios Unidos","sábado","[4-8)",2
"Barrios Unidos","jueves","[12- 16)",2
"Barrios Unidos","lunes","[20-24)",4
"Barrios Unidos","lunes","[8-12)",4
"Barrios Unidos","sábado","[16-20)",1
"Barrios Unidos","lunes","[4-8)",2
"Barrios Unidos","miércoles","[20-24)",5
"Barrios Unidos","martes","[20-24)",4
"Barrios Unidos","miércoles","[16-20)",1
"Barrios Unidos","jueves","[0-4)",2
"Barrios Unidos","viernes","[12- 16)",3
"Barrios Unidos","sábado","[12- 16)",1
"Barrios Unidos","viernes","[20-24)",2
"Barrios Unidos","lunes","[16-20)",1
"Barrios Unidos","viernes","[8-12)",3
"Barrios Unidos","martes","[16-20)",4
"Barrios Unidos","jueves","[16-20)",2
"Barrios Unidos","martes","[8-12)",1
"Barrios Unidos","jueves","[20-24)",4
"Barrios Unidos","sábado","[20-24)",2
"Barrios Unidos","martes","[12- 16)",1
"Barrios Unidos","domingo","[12- 16)",1
"Barrios Unidos","viernes","[0-4)",3
"Barrios Unidos","sábado","[8-12)",1
"Barrios Unidos","jueves","[8-12)",3
"Barrios Unidos","viernes","[4-8)",1
"Barrios Unidos","miércoles","[0-4)",2
"Barrios Unidos","miércoles","[8-12)",2
"Barrios Unidos","sábado","[0-4)",2
"Barrios Unidos","domingo","[16-20)",2
"Barrios Unidos","viernes","[16-20)",1
"Barrios Unidos","domingo","[4-8)",1
"Barrios Unidos","domingo","[20-24)",1
"Barrios Unidos","miércoles","[4-8)",2
"Teusaquillo","viernes","[20-24)",3
"Teusaquillo","martes","[0-4)",3
"Teusaquillo","sábado","[8-12)",3
"Teusaquillo","miércoles","[16-20)",4
"Teusaquillo","martes","[20-24)",2
"Teusaquillo","domingo","[8-12)",2
"Teusaquillo","lunes","[16-20)",2
"Teusaquillo","sábado","[16-20)",1
"Teusaquillo","sábado","[4-8)",2
"Teusaquillo","domingo","[20-24)",1
"Teusaquillo","martes","[12- 16)",4
"Teusaquillo","martes","[16-20)",2
"Teusaquillo","viernes","[0-4)",1
"Teusaquillo","lunes","[20-24)",1
"Teusaquillo","viernes","[16-20)",1
"Teusaquillo","miércoles","[12- 16)",2
"Teusaquillo","viernes","[4-8)",1
"Teusaquillo","domingo","[0-4)",2
"Teusaquillo","lunes","[12- 16)",2
"Teusaquillo","viernes","[12- 16)",3
"Teusaquillo","lunes","[8-12)",1
"Teusaquillo","jueves","[8-12)",3
"Teusaquillo","martes","[8-12)",3
"Teusaquillo","jueves","[20-24)",2
"Teusaquillo","viernes","[8-12)",1
"Teusaquillo","miércoles","[20-24)",1
"Teusaquillo","jueves","[12- 16)",1
"Teusaquillo","miércoles","[0-4)",2
"Los Martires","jueves","[0-4)",6
"Los Martires","lunes","[8-12)",8
