"Año","Mes","Arma","Homicidios","Fecha"
"2010","01","ARMA BLANCA",41,2010-01-01
"2010","01","ARMA DE FUEGO",70,2010-01-01
"2010","02","ARMA BLANCA",35,2010-02-01
"2010","02","ARMA DE FUEGO",65,2010-02-01
"2010","02","OTHER",2,2010-02-01
"2010","03","ARMA DE FUEGO",65,2010-03-01
"2010","03","ARMA BLANCA",36,2010-03-01
"2010","03","OTHER",6,2010-03-01
"2010","04","ARMA DE FUEGO",63,2010-04-01
"2010","04","ARMA BLANCA",28,2010-04-01
"2010","04","OTHER",4,2010-04-01
"2010","05","ARMA DE FUEGO",51,2010-05-01
"2010","05","ARMA BLANCA",42,2010-05-01
"2010","05","OTHER",6,2010-05-01
"2010","06","ARMA BLANCA",33,2010-06-01
"2010","06","ARMA DE FUEGO",79,2010-06-01
"2010","06","OTHER",5,2010-06-01
"2010","07","ARMA BLANCA",39,2010-07-01
"2010","07","ARMA DE FUEGO",78,2010-07-01
"2010","07","OTHER",4,2010-07-01
"2010","08","ARMA DE FUEGO",68,2010-08-01
"2010","08","ARMA BLANCA",44,2010-08-01
"2010","09","ARMA DE FUEGO",64,2010-09-01
"2010","09","ARMA BLANCA",25,2010-09-01
"2010","09","OTHER",2,2010-09-01
"2010","10","ARMA BLANCA",26,2010-10-01
"2010","10","ARMA DE FUEGO",82,2010-10-01
"2010","10","OTHER",4,2010-10-01
"2010","11","ARMA DE FUEGO",87,2010-11-01
"2010","11","ARMA BLANCA",38,2010-11-01
"2010","11","OTHER",3,2010-11-01
"2010","12","ARMA DE FUEGO",76,2010-12-01
"2010","12","ARMA BLANCA",44,2010-12-01
"2011","01","ARMA BLANCA",43,2011-01-01
"2011","01","ARMA DE FUEGO",85,2011-01-01
"2011","01","OTHER",5,2011-01-01
"2011","02","ARMA DE FUEGO",70,2011-02-01
"2011","02","ARMA BLANCA",45,2011-02-01
"2011","02","OTHER",3,2011-02-01
"2011","03","ARMA DE FUEGO",88,2011-03-01
"2011","03","ARMA BLANCA",28,2011-03-01
"2011","03","OTHER",1,2011-03-01
"2011","04","ARMA BLANCA",45,2011-04-01
"2011","04","ARMA DE FUEGO",76,2011-04-01
